Statement,True,False
"Joe Biden said, ""The things I did while in elected office should not be made public while I am seeking a higher public office."". ""I believe, without having definitive proof, that the military is in charge of our country ... because Joe Biden is an illegal president."".",0.5,0.5
"Says a ""Clorox bottle claimed it could kill (the 2019 coronavirus)... before it was developed."". Drinking ""water a lot and gargling with warm water & salt or vinegar eliminates"" the coronavirus.",0.0,1.0
"In 2009, the state Legislature passed more than $5 billion in tax increases. The new tax law is ""kicking the American economy into high gear with $5.5 trillion in tax cuts."".",0.0,1.0
"Federal prosecutions for lying on background checks to buy guns are down 40 percent under President Barack Obama. ""Anybody can buy any weapon, any time without much, if any, regulation. They buy it over the internet. They can buy machine guns."".",0.5,0.5
"""Facebook removed the title of ‘President' from Donald Trump and designated him as ‘Political Candidate.'"". Says Facebook is removing the share button from ""Pro-Trump posts."".",0.0,1.0
Says the states pension and health benefits reform includes the destruction of public sector collective bargaining rights. Eliminating the state tax on health savings accounts will make it easier for small business owners to provide health insurance to their employees.,0.5,0.5
"Says abortion is ""the leading cause of death for black Americans and kills as many as 1,000 black children every day."". ""There are statistics out there that show the number of women who died from illegal abortions prior to Roe v. Wade, that number has skyrocketed since with women dying more with legal abortions."".",0.0,1.0
"Says President Barack Obama got a pass over controversalremarks byRev Jeremiah Wright, while a12-year-old speech by House Majority Whip Steve Scalise hasblown up into a national story. ""Biden preparing 2020 presidential bid -- with Obama as vice president."".",0.0,1.0
"$50,000. Thats what every child owes today because Washington politicians have run up a huge spending tab and left our kids the bill. We have 50 state lobbyists that just lobby the Legislature for money every year.",1.0,0.0
"Florida has more concealed weapons permits than any other state. Florida has the most concealed weapon permits in the nation, nearly double that of the second state, which is Texas.",1.0,0.0
Says he opposed the presidents decision to go into Iraq in 2003. I was totally against the war in Iraq.,0.0,1.0
Michelle Nunns foundation directed grants to an Islamic group tied to radical terrorists. Michelle Nunns own plan says she funded organizations linked to terrorists.,0.0,1.0
The 2015 Legislature passed the fewest laws in 20 years. Says HJM 20 was the only bill not assigned to a House committee.,0.5,0.5
"""Replacing marriage licenses with domestic union contracts does not alter state or federal benefits."". The governor does not have any power to veto a referendum [on same-sex marriage] that would be a constitutional amendment.",0.5,0.5
I became a Republican sooner in my life than Ronald Reagan did in his. My numbers are better right now than Ronald Reagans numbers were with Jimmy Carter.,0.5,0.5
"""Bernie Sanders voted in favor of every war during his tenure."". Bernie Sanders passed more roll call amendments in a Republican Congress than any other member.",0.5,0.5
Over half of the black workers in this country earn less than $15 an hour. Says up to a quarter of African Americans dont have government photo ID.,1.0,0.0
"Since the passage of Obamas stimulus package, over 1 million additional jobs were lost and nearly 25 million Americans are out of work, are stuck in part-time work, or have given up looking. Nobody knows about it, nobody talks about it, but under Obama, millions of people have been moved out of this country, theyve been deported.",1.0,0.0
"Says A baby in Coos County is two times as likely to be born to a mother who is someone who used tobacco during her pregnancy as is the average baby born in Oregon or the U.S. Oregon House Republicans jobs plan could generate more than 50,000 jobs over five years.",1.0,0.0
"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay."". John McCain's health care plan ""won't guarantee coverage of cancer screenings or maternity care."".",1.0,0.0
"Today New Mexico (has) the sixth-fastest growing economy. New Mexico moved ""up to"" sixth in the nation in job growth.",1.0,0.0
Says Joe Biden is a socialist. Says President Barack Obama is a socialist.,0.0,1.0
"Over the last 10 years, Georgias public health has declined. Between 1980 and 2010, water usage in Georgia dropped even as the states population grew.",1.0,0.0
Says Kevin Cramer wants to cut Social Security and Medicare to pay for tax cuts. Congressman Bill Young voted to cut taxes for millionaires and end your Medicare.,0.5,0.5
"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones. Floridas high school graduation rate falls well below the national average.",1.0,0.0
Richard Burr voted to protect tax breaks for companies that ship jobs overseas but voted against a tax break to help working people. John Boehner wants to reopen a tax loophole that actually rewarded corporations for shipping jobs and profits overseas.,1.0,0.0
"Says a picture of stacked mailboxes is proof of voter suppression in Wisconsin. ""THOUSANDS of fake votes found at Wisconsin Recount in Dane County."".",0.0,1.0
Spanish was the first European language spoken in this country. The U.S. Census believes that by 2030 the majority of Americans will use Spanish as their first language.,0.5,0.5
Social Security is indeed a Ponzi scheme. Social Security is a Ponzi scheme.,0.0,1.0
"""You have literally 140 people dying every day of opioid-related overdoses."". According to the Centers for Disease Control and Prevention (CDC), about 120 Americans on average die from a drug overdose every day. Overall, drug overdose deaths now outnumber deaths from firearms.",1.0,0.0
"In North Carolina, paid family leave is more popular than college basketball. ""The average family in America forks over more of their hard-earned income to their local hospital than to the IRS."".",1.0,0.0
"Says Texas has ""had over 600,000 crimes committed by illegals since 2011. Over 1,200 homicides."". Texas added 6,600 miles of highway from 2001-2012, more than any other state.",0.5,0.5
"Technically, (Ted Cruz is) not even an American. Says Ted Cruz said, ""When gays stayed hidden we had no mass shootings; we had no public nudity. Society was polite. Now anything and everything goes and I blame them."".",0.0,1.0
John Boozman is excited about putting a 23 percent national sales tax on everything you buy. Tom Ganley supports a 23 percent national sales tax that would raise taxes on the middle class while giving a huge tax break to millionaires like himself.,0.5,0.5
Were inches away from no longer having a free economy. We are only inches away from ceasing to be a free market economy.,0.0,1.0
"Says pension contributions under Gov. Chris Christie would represent 75 percent of the total contribution made between the years 1995 and 2010. Thats right, in 15 years, total state contribution was only $2.1 billion. The 2006 Massachusetts health care law has added (only) about 1 percent to our state budget.",0.5,0.5
"Earmarked dollars have doubled just since 2000, and more than tripled in the last 10 years. Between the year 2000 and 2006, (insurance) premiums in this country doubled.",1.0,0.0
"""We won. We won in a landslide. This was a landslide."". Weve broken by millions the all-time record for votes in a GOP presidential primary election.",0.0,1.0
"The World Health Organization ""now admits that asymptomatic transmission of COVID-19 is very rare."". ""For example, when the COVID-19 pandemic hit, my Administration implemented a program to provide any individual without health-insurance coverage access to necessary COVID‑19‑related testing and treatment."".",1.0,0.0
"During the three times the top marginal tax rates were lowered in the 20th century, ""revenues actually went up while the economy improved in America."". After the Tax Cuts and Jobs Act, ""the typical American worker's pay growing at more than 3 percent a year, record low unemployment."".",0.5,0.5
"Rick Perry advocated to liquidate the states rainy day fund in 2007. In Rick Perry's Texas, the governor threatens to leave, to secede from the greatest country in the world.",0.5,0.5
"""Boil some orange peels wit cayenne pepper in it stand over the pot breathe in the steam so all that mucus can release from yo nasal… MUCUS is the problem its where THE VIRUS LIVES!!!"". Says drinking cream of tartar mixed with orange juice daily will help people quit smoking because it ""flushes the nicotine"" out of the body.",0.0,1.0
"""Nearly 20 million Americans ... have gained health insurance since (the Affordable Care Act) passed in 2010."". In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",0.5,0.5
"""Facebook removed the title of ‘President' from Donald Trump and designated him as ‘Political Candidate.'"". Twitter removed this tweet from Donald Trump: ""My blood IS the vaccine!!!!!"".",0.0,1.0
"""There's 100 million people that have preexisting conditions."". We admit more than 100,000 lifetime migrants from the Middle East each year.",1.0,0.0
Thom Tillis cut almost $500 million from education. The governors budget proposal reduces the state austerity cut to education to under $500 million for 2016.,1.0,0.0
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran."". Hillary Clinton ""agreed with (John McCain) on voting for the war in Iraq."".",1.0,0.0
"Were seeing now 30 straight months of private-sector job growth, 4.6 million jobs created. In the last 29 months, our economy has produced about 45 million private-sector jobs.",1.0,0.0
"Two ""Doomsday Planes"" took flight because of President Donald Trump's COVID-19 diagnosis. Video shows President Donald Trump saying COVID-19 is Democrats' ""new hoax."".",0.0,1.0
"Says Ronald Reagan said, ""Nancy Pelosi is extremely evil."". Says Nancy Pelosi said ""Americans are the stupidest people on earth."".",0.0,1.0
"If Senator Clinton or John McCain had stood up in previous years for increases in fuel efficiency standards . . . then we would not be in this same situation in the first place. John McCain has said the economy is ""not his strong suit."".",1.0,0.0
"The truth is David Cicilline voted for tougher laws against child abusers, domestic abusers and abusers of the elderly. As a state representative, David Cicilline argued against Megans Law and voted against mandatory registration of sex offenders.",0.5,0.5
"My recommended budget includes $1 billion in new state funding for education. A recent spending bill had at least ""$1.6 billion in there ... for schools to give them an opportunity to secure them."".",0.5,0.5
"Says President Obama said of the national debt, If I dont have this done in three years, then theres going to be a one-term proposition. President Barack Obama has now spent three years proving that he kills jobs in energy, he kills jobs in manufacturing.",0.0,1.0
"""The top 0.1 percent ... own about the same wealth as 90 percent of America."". The top one-tenth of 1 percent now owns almost as much wealth as the bottom 90 percent.",1.0,0.0
Says public education will get more money in 2012-13 though lawmakers cut $15 billion in overall spending. Says $15-an-hourproposal in Cleveland is the most aggressive minimum wage increase in the country.,1.0,0.0
The state covered a smaller percentage of the cost of K-12 education in 2013 than it did in 2002. Only the State of New York spends more money on Medicaid than the State of New Jersey.,0.5,0.5
"Polls show Americans are overwhelmingly opposed to Obamacare, especially the individual mandate. The latest Quinnipiac poll found that nearly six-in-ten Americans oppose ObamaCare -- 30% support the law and 57% oppose it.",1.0,0.0
Its been nearly three weeks since the president has commented on questions about possible hidden wait lists at veterans hospitals. My judicial nominees have waited three times longer to receive confirmation votes than those of my Republican predecessor.,1.0,0.0
Texas ranks 49th in per-pupil funding among the states. Says Texas ranks 49th nationally in what we are doing to support our per-pupil investment in education in the state.,1.0,0.0
"My 7-step plan creates 700,000 jobs in 7 years. Weve spent $6 trillion on the wars in the Middle East.",1.0,0.0
"In some states, it is still legal to deny a woman coverage because she's been the victim of domestic violence. Says he cant release his internal affairs record because there are Attorney General guidelines in place protecting it.",0.5,0.5
"During the three times the top marginal tax rates were lowered in the 20th century, ""revenues actually went up while the economy improved in America."". Since the passage of the Affordable Care Act, U.S. health care spending grew at 3.9 percent for the last three years, the lowest growth rate in over 50 years.",0.5,0.5
"When Colorado eased its medical marijuana laws, fatal accidents involving pot-using drivers soared while overall traffic fatalities decreased. Weve seen highway fatalities actually decrease in Colorado since marijuana use was legalized.",1.0,0.0
"""NASA says an asteroid bigger than a football pitch is heading towards Earth."". ""Asteroid warning: NASA tracks a 4KM killer rock on approach - Could end human civilisation."".",0.0,1.0
"""In America today, women on average are paid 80 cents on the dollar of what men are paid for the same work."". ""Women earn on average 80-cents on the dollar compared to white men doing similar jobs."".",0.5,0.5
"Says Italian Prime Minister Giuseppe Conte said, ""We have lost control, we have killed the epidemic physically and mentally. Can't understand what more we can do, all solutions are exhausted on ground. Our only hope remains up in the Sky, God rescue your people."". Quotes Anthony Fauci as writing, ""I reject the notion that it's ‘just a virus' and we'll all get it eventually. What a careless, lazy, heartless stance."".",0.0,1.0
Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before. Says COVID-19 has killed more North Carolinians in a year than the flu has in 10 years.,1.0,0.0
The tuitions in Virginia colleges...have doubled -- 100 percent -- in the last 10 years. The size of our federal government has more than doubled since the year 2000.,0.5,0.5
Says proposed anti-abortion legislation would force women facing the most personal of health decisions to endure a transvaginal ultrasound. Says Rick Scott signed laws requiring mandatory ultrasounds and restricting access to abortion even in cases of rape or incest.,1.0,0.0
"Texas is experiencing the fastest population growth in the country, adding more than 1,000 people a day. Says Texas has the most uninsured people of any state -- 6 million.",0.5,0.5
"In Florida alone, more than $35 billion a year is spent on health care and criminal justice for illegal immigrants. Thirty million Americans, including a lot of people in Florida, are going to be able to get healthcare next year because of that law.",0.0,1.0
"Says only about 2 percent of gunsales in Virginia are not subject to background checks. Under Virginia law, if you are a non-federally licensed (gun) dealer, you cannot get a background check even if you want one.",0.0,1.0
"The debt will soon eclipse our entire economy. Our spending has caught up with us, and our debt soon will eclipse the entire size of our national economy.",1.0,0.0
"Says President Donald Trump has been ""taking money Congress authorized to protect people facing disaster in order to indefinitely detain asylum seekers."". Says President Trump has ordered the military to take over ""major corrupt cities"" to stay in office and that U.S. citizens will receive emergency alerts on their devices.",0.5,0.5
"For the second quarter in a row, my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over $800,000. Discretionary spending went up 84 percent in the last two years.",0.5,0.5
"Says he cut the budget. His proposed budget would ""cut our deficit in half by the end of my first term"".",1.0,0.0
On deporting illegal immigrants. On birthright citizenship for illegal immigrants.,0.5,0.5
"More than 100,000 women in Texas have attempted to self-induce abortion in the past year alone. Abortion providers perform almost 60,000 procedures in Texas every year.",0.5,0.5
"""Replacing marriage licenses with domestic union contracts does not alter state or federal benefits."". Polls on legalizing same-sex marriage are not dramatically changing.",0.0,1.0
"Says MittRomneys tax plans would give an additional $250,000 tax cut to millionaires and billionaires while raising taxes on the middle class. (The Tax Policy Center) found that Romney would raise taxes on the average middle class family by $2,000 to pay for $5 trillion in tax cuts for millionaires and billionaires.",1.0,0.0
"In the last 10 years, Georgias middle class income has dropped $6,500. The average Georgia family makes $6,000 less than the average family did 10 years ago when inflation is factored in.",1.0,0.0
About two-thirds of all consumption is services. . . It was just the opposite when the sales tax was enacted in the 30s. Two-thirds of our economy is a consumer economy.,1.0,0.0
Federal prosecutions for lying on background checks to buy guns are down 40 percent under President Barack Obama. Says the claim that 40 percent of guns are sold without background checks traces to information gathered before background checks were even required.,1.0,0.0
"""The latest round of tariffs now means that the total tax increase on Americans from enacted tariffs exceeds the tax increases from the Affordable Care Act."". The Affordable Care Act will likely go down as the biggest tax increase in history.",0.5,0.5
"A photo shows ""brave women of the Red Cross"" arriving in Normandy on D-Day to help injured troops. Says a photo showing thousands on a ship next to a crowded dock are ""Europeans trying to get to North Africa during World War II."".",0.5,0.5
"In the past three years, state legislatures have enacted more of these restrictions (on abortion) than in the previous 10 years combined. If you look at the three people on the (debate) stage from the United States Senate, all three of them have a combined two bills that became law that theyve sponsored.",1.0,0.0
"Two million new jobs have been created, in California since 2011. Oregon is the most trade-dependent state in the nation.",0.5,0.5
40 percent of U.S. gun sales are occurring outside of licensed gun dealers. Theres a loophole where you can sell guns without a background check 40 percent of guns are sold that way at gun shows and over the Internet.,1.0,0.0
A Texas law says that you cant shoot bears out of the second floor of a window. Says the federal government threatened to impose a no-fly zone in Texas if state legislators bar airport security officials from performing pat-downs.,0.5,0.5
The Republican-controlled Wisconsin Senate approved a bill denying veterans the right to recover their medical costs for cancers they developed while serving their country. Says Gov. Scott Walkers repeal of a 2009 law has left Wisconsin as one of five states without an equal pay law protecting women from gender discrimination in their paycheck.,0.0,1.0
"22 times Barack Obama said he did not have the authority to implement this type of anti-deportation measure. And then the day after he signed this into law, he said, quote, I just changed the law. Says he did not say Republicans would filibuster immigration reform.",0.5,0.5
"Says Beto O'Rourke ""voted against"" Hurricane Harvey ""tax relief."". Says Beto O'Rourke ""voted to shield MS-13 gang members from deportation."".",0.5,0.5
"The war on drugs led to a 500 percent increase in incarceration in our country, disproportionately affecting poor and disproportionately affecting minorities. The violent crime rate in America is the same as it was in 1968, yet our prison system has grown by over 500 percent.",1.0,0.0
Proposition 2 on Novembers Texas ballot does not cost state taxpayers any money. Studies have shown that voter fraud is non-existent in Texas.,0.5,0.5
"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year. Despite President Barack Obamas promise to cut healthcare costs, the average cost of a family policy is up $1,300.",1.0,0.0
"Says as a Schedule 1 drug, marijuana carries a designation that means it ""should not be researched"". Department of Veterans Affairs doctors are prohibited from recommending medical marijuana.",0.5,0.5
"Sunday liquor sales could generate $3.4 million to $4.8 million a year in additional sales tax revenue for Georgia. By the end of 2015, more than 1,300 people will have died on Georgia roads. One of out evey four fatalities resulted from drunken driving.",1.0,0.0
Texas leads the country in drunk driving fatalities. Says Texas leads the nation in fatal industrial accidents.,1.0,0.0
Says a quote defending President Donald Trump can be attributed to Clint Eastwood. Says Donald Trump has defended World War II internment camps.,0.5,0.5
"""CDC Director Robert Redfield says healthy people should NOT wear masks."". ""The first randomized controlled trial of more than 6,000 individuals to assess the effectiveness of surgical face masks against SARS-CoV-2 infection found masks did not statistically significantly reduce the incidence of infection."".",0.0,1.0
"About 40 percent of workers dont ... have a single paid sick day. ""40% of the initial small business funds didn't go to small businesses at all."".",0.5,0.5
Preventive care coverage under the Affordable Care Act has already helped Granite Staters save money and live healthier lives. We have invested record funding in protecting our environment.,0.5,0.5
"In the past four years, (the U.S. Senate) has only passed nine out of 48 appropriation bills. Its been 4 and a half years since the United States Senate passed a budget.",0.5,0.5
The $3.6 billion deficit we inherited has turned into more than a half-billion-dollar surplus. I started with a $3.7 billion budget deficit. Now we are projecting a $1.2 billion surplus.,1.0,0.0
"The Simpsons predicted the Capitol riots. Says ""The Simpsons"" predicted the coronavirus.",0.0,1.0
Non-defense discretionary spending has increased by over 80 percent in the last two years. Discretionary spending went up 84 percent in the last two years.,0.0,1.0
Bernie Sanders passed more roll call amendments in a Republican Congress than any other member. Says Hillary Clinton voted for virtually every trade agreement that has cost the workers of this country millions of jobs.,1.0,0.0
"Says Marco Rubio is proposing a new $1 trillion welfare program in tax credits and $1 trillion in new military spending. By the end of this decade, the interest we owe on our debt could rise to nearly $1 trillion.",1.0,0.0
"Says the estate tax, in many cases, forces family farmers and small businesses owners to sell their holdings. ""There was virtually no new business investment"" after the 2017 tax law. ""The bulk was used to buy back their own stock."".",0.5,0.5
"The House health care bill pays for ""about six years of program with a decade of revenue, with the heaviest costs concentrated in the second five years."". The health care bill has six years of costs against 10 years of tax revenue.",1.0,0.0
"In 2010, the non-partisan Government Accountability Office found that only 6.5 percent of the U.S.-Mexico border was under full control of the Border Patrol. In Arizona, there are only one and a half (Border Patrol) agents per every 10 square miles.",0.5,0.5
"In about three weeks over a half million Floridians are going to lose their coverage again through Obamacare. Since 2013 alone, the Obama administration has allowed 300,000 criminal aliens to return back into United States communities. These are individuals encountered or identified by (Immigration and Customs Enforcement), but who were not detained or processed for deportation because it wouldnt have been politically correct.",1.0,0.0
"""I entered as one of the poorest men in Congress, left one of the poorest men in government, in Congress and as vice president."". Quotes incoming U.S. Rep. Alexandria Ocasio-Cortez as saying ""under capitalism, man oppresses man. Under socialism, it's the other way around."".",0.5,0.5
"For the first time in more than a decade, imports accounted for less than half of (the oil) we consumed. For the first time in 13 years, our dependence on foreign oil is below 50 percent.",1.0,0.0
"U.S. tariffs on China are ""not hurting anybody"" in the United States. Tariffs are ""paid for mostly by China, by the way, not by us."".",0.0,1.0
"Nonpartisan government analysts say Obamacare will cost our economy up to 2.5 million jobs. Last year, I stopped an Obamacare bailout and saved taxpayers $2.5 billion.",0.0,1.0
Gov. Rick Perry has overseen the highest Texas unemployment in 22 years. Says Texas unemployment rate has doubled on Rick Perrys watch.,1.0,0.0
"""The Failing @nytimes quotes ‘a senior White House official,' who doesn't exist, as saying ‘even if the meeting were reinstated, holding it on June 12 would be impossible, given the lack of time and the amount of planning needed.' WRONG AGAIN! Use real people, not phony sources."". Says stories about his birth certificate drowned out media coverage of the Republican and White House budget plans the week of April 11.",0.0,1.0
"McCain sought the political support of minister John Hagee, ""who believes Hurricane Katrina was God's punishment for gay rights and called the Catholic Church 'the Antichrist' and a 'false cult.'"". Says Raphael Warnock defended the ""hatred"" of Jeremiah Wright, the pastor who said ""not God bless America, God damn America,"" and gave Wright ""an award for truth telling."".",0.5,0.5
"Risk analysts listed Donald Trump, a Donald Trump presidency, as one of the top threats facing the global economy, ahead of terrorism. ""President Trump is in great danger. Evidence is mounting that he's being deliberately killed at Walter Reed Military Hospital."".",0.5,0.5
"Wisconsins state budget is almost twice as large per person as the state budget of Texas, and even after billions in tax cuts, Wisconsins working families and businesses remain subject to a heavy tax burden. The University of Wisconsin System is larger than any business in the state of Wisconsin.",1.0,0.0
"Tampa is the strip club capital of the world. Tampa got more (federal housing) money because they scored higher on the blight scoring system, so theyve got a much bigger problem than we do.",0.0,1.0
Says Gov. Rick Perry was for Wall Street bailout before he was against it. Macys sent a letter to Rick Perry urging him to veto equal pay bill.,1.0,0.0
Says gas costs $4.50 a gallon. Gas will reach $4 a gallon under a cap-and-trade plan.,0.0,1.0
"Greg Abbott activated the state guard to monitor Jade Helm 15 in case the troops try to impose martial law, disarm innocent Texans, and detain them in tunnels beneath closed Walmart stores. ""In sanctuary cities, local officials order police to release dangerous criminal aliens to prey upon the public instead of handing them over to ICE to be safely removed."".",0.5,0.5
On supporting the eventual Republican presidential nominee. On returning Republican campaign contributions.,0.5,0.5
The governors budget proposal reduces the state austerity cut to education to under $500 million for 2016. Says Thom Tillis has cut $500 million from public education.,1.0,0.0
"Since January 2010, New Jersey has added 103,000 new private sector jobs The last two years -- 2011 and 2012 -- have been the best two years of private sector job growth since 1999. What I look at every month is how many more New Jerseyans are back to work. You have another 9,900 last month that are back to work and over almost 90,000 that are back to work now since I became governor.",0.5,0.5
"Wisconsin requires, by law, a photo ID to vote. I have voted every year in Wisconsin.",0.5,0.5
"Says recent polls show Americans agree with Republicans that the federal debt ceiling should not be raised and the debt and deficit should be dealt with mostly by cutting spending. The American people say, dont touch Social Security, dont touch Medicare, dont cut defense. Thats 84 percent of the federal budget.",1.0,0.0
"A CNN chyron said, ""Antifa has just taken responsibility for storming Capital Hill."". Says he was the first person to call for invoking the Defense Production Act.",0.0,1.0
"Says President Barack Obama has put (up) a stop sign against oil drilling, against any kind of exploration offshore or in Alaska. House Republicans who complained they didnt have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling.",0.5,0.5
Says no city comparable in size to Austin or smaller was broken into as many congressional districts. Says Austin is the largest city in America without a congressional district anchored in it.,1.0,0.0
"Josh Mandel used to be pro-choice, now hes anti-choice. He used to be sympathetic towards gay and lesbians and now hes [not]. Says Ted Cruz said: While there may have been an age difference, Josh Duggars transgressions are far less an affront to God than what gays do to each other.",0.5,0.5
A photo of a deer standing near a burned down residence is from the Australia wildfires. An image shows animals burning in the Australia wildfires.,0.0,1.0
"If you're over 65 years old in America today, you have no choice but to be in Medicare. Even if you want out of Medicare, you have to forfeit your Social Security to get out of it. Says if we do nothing and continue to let Obamacare siphon off that $700 billion dollars off the top of it, Medicare goes away in less than 10 years -- certain accounts of it -- and it just falls apart at the seams.",0.5,0.5
"The Buffett rule raises virtually no money, maybe a day and a half of our borrowing per year. The Buffett Rule will bring in less than $5 billion per year. ... Enough to pay one weeks interest on the national debt.",1.0,0.0
The United States right now incarcerates more African-Americans as a percentage than apartheid South Africa did. Americanschools are more segregated than they were in the 1960s.,1.0,0.0
"95 percent of job creators say Wisconsin is headed in the right direction. ""We have roughly between 85,000 (and) 95,000 open jobs in Wisconsin."".",1.0,0.0
